"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2020-12-29";"KNOX";7705;1874;"";"";"";"";"20201229_KNOX"
"2021-01-01";"MOORE";50;0;"";"";"";"";"20210101_MOORE"
"2021-01-14";"HAWKINS";3154;197;"2898";"179";"255";"18";"20210114_HAWKINS"
"2021-01-21";"SCOTT";2067;131;"1792";"72";"275";"59";"20210121_SCOTT"
"2021-01-25";"DICKSON";3350;152;"2589";"65";"759";"88";"20210125_DICKSON"
"2021-02-06";"MCNAIRY";4387;175;"3119";"31";"1259";"141";"20210206_MCNAIRY"
"2021-02-07";"MONROE";4358;16;"2873";"13";"1472";"3";"20210207_MONROE"
"2021-04-03";"DYER";12174;119;"7457";"66";"4786";"64";"20210403_DYER"
"2021-04-12";"CARTER";22914;107;"13821";"71";"9338";"45";"20210412_CARTER"
"2021-05-11";"MORGAN";14342;61;"7992";"22";"6811";"44";"20210511_MORGAN"
"2021-05-17";"CARROLL";17147;9;"9376";"4";"7953";"5";"20210517_CARROLL"
"2021-05-18";"OUT OF STATE";157460;1317;"96736";"791";"67113";"590";"20210518_OUT OF STATE"
"2021-05-20";"HOUSTON";4359;50;"2419";"39";"2042";"20";"20210520_HOUSTON"
"2021-05-29";"MONROE";26517;85;"14937";"31";"13273";"56";"20210529_MONROE"
"2021-06-03";"GILES";15381;48;"8261";"13";"7322";"36";"20210603_GILES"
"2021-06-03";"MEIGS";11273;34;"6110";"13";"5371";"17";"20210603_MEIGS"
"2020-12-30";"DYER";532;179;"";"";"";"";"20201230_DYER"
"2021-02-09";"GRUNDY";1043;22;"692";"22";"350";"0";"20210209_GRUNDY"
"2021-02-11";"LINCOLN";4122;62;"3069";"23";"1049";"39";"20210211_LINCOLN"
"2021-02-13";"WILSON";19164;874;"13663";"573";"5456";"297";"20210213_WILSON"
"2021-02-24";"LEWIS";2128;90;"1379";"66";"749";"24";"20210224_LEWIS"
"2021-03-16";"WILLIAMSON";82984;2188;"54199";"1603";"29030";"633";"20210316_WILLIAMSON"
"2021-03-17";"JOHNSON";5034;74;"3323";"72";"1976";"3";"20210317_JOHNSON"
"2021-04-13";"DICKSON";22304;323;"14452";"135";"8266";"193";"20210413_DICKSON"
"2021-04-17";"WEAKLEY";13047;111;"7679";"26";"5355";"82";"20210417_WEAKLEY"
"2021-04-21";"SUMNER";87403;1659;"53823";"501";"34922";"1132";"20210421_SUMNER"
"2021-05-13";"FRANKLIN";22185;161;"12263";"53";"10019";"120";"20210513_FRANKLIN"
"2020-12-24";"BRADLEY";341;104;"";"";"";"";"20201224_BRADLEY"
"2020-12-28";"HENRY";337;2;"";"";"";"";"20201228_HENRY"
"2020-12-30";"JACKSON";267;137;"";"";"";"";"20201230_JACKSON"
"2021-01-29";"BENTON";2086;88;"1645";"68";"440";"20";"20210129_BENTON"
"2021-02-01";"CUMBERLAND";8883;139;"5640";"7";"3235";"132";"20210201_CUMBERLAND"
"2021-02-19";"MCMINN";6723;336;"4646";"108";"2070";"228";"20210219_MCMINN"
"2021-02-19";"RHEA";5032;178;"3198";"95";"1830";"83";"20210219_RHEA"
"2021-04-05";"COFFEE";20906;302;"13486";"88";"7524";"218";"20210405_COFFEE"
"2021-04-10";"TIPTON";19368;375;"12720";"237";"7220";"180";"20210410_TIPTON"
"2021-04-13";"BLOUNT";68076;1201;"43016";"656";"26817";"682";"20210413_BLOUNT"
"2021-04-16";"RUTHERFORD";131166;2871;"84473";"1427";"53291";"1445";"20210416_RUTHERFORD"
"2021-04-28";"CUMBERLAND";36728;414;"20779";"29";"17087";"383";"20210428_CUMBERLAND"
"2021-04-29";"ROBERTSON";37910;359;"22414";"134";"15972";"228";"20210429_ROBERTSON"
"2021-05-07";"HUMPHREYS";9102;36;"5060";"16";"4249";"21";"20210507_HUMPHREYS"
"2021-05-13";"GRUNDY";4443;37;"2483";"12";"2085";"28";"20210513_GRUNDY"
"2020-12-19";"POLK";3;2;"";"";"";"";"20201219_POLK"
"2021-01-13";"COFFEE";1450;239;"1415";"234";"35";"";"20210113_COFFEE"
"2021-01-25";"JOHNSON";1104;94;"938";"19";"166";"75";"20210125_JOHNSON"
"2021-01-30";"WILLIAMSON";25714;1228;"18188";"878";"7478";"345";"20210130_WILLIAMSON"
"2021-03-03";"BLOUNT";30180;753;"19679";"224";"10454";"526";"20210303_BLOUNT"
"2021-04-16";"SMITH";6704;106;"4053";"28";"2738";"77";"20210416_SMITH"
"2021-04-29";"UNION";8432;96;"4926";"26";"3690";"68";"20210429_UNION"
"2021-05-03";"MONTGOMERY";77737;308;"45124";"115";"32627";"175";"20210503_MONTGOMERY"
"2021-05-13";"HAWKINS";31489;123;"16994";"45";"14891";"91";"20210513_HAWKINS"
"2021-05-13";"PUTNAM";52806;277;"28557";"79";"25287";"199";"20210513_PUTNAM"
"2020-12-23";"CLAIBORNE";145;90;"";"";"";"";"20201223_CLAIBORNE"
"2020-12-28";"HICKMAN";157;7;"";"";"";"";"20201228_HICKMAN"
"2021-01-12";"MACON";814;52;"799";"51";"";"";"20210112_MACON"
"2021-01-29";"MOORE";348;44;"304";"33";"44";"11";"20210129_MOORE"
"2021-02-08";"SMITH";2151;23;"1482";"20";"669";"3";"20210208_SMITH"
"2021-02-11";"BEDFORD";5138;151;"3998";"126";"1125";"23";"20210211_BEDFORD"
"2021-02-11";"MARION";3977;134;"2743";"121";"1230";"12";"20210211_MARION"
"2021-02-19";"ROANE";7311;178;"5124";"121";"2184";"56";"20210219_ROANE"
"2021-02-21";"SMITH";2736;88;"1807";"12";"926";"74";"20210221_SMITH"
